Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
1e89fbadc24e18143786ef737d49da52,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13741680,2885.63456,103.375,27.91424
1f55aa4b2e3ae146c0d95ee5c03d896c,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11300642,561.77408,20.125,27.91424
1fb4c77bfe342c2f4fe135dd91eae9e4,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10693898,488.4992,17.5,27.91424
20e4acc5c398d126885c0e0de3b2f5df,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16808393,1003.168,35.9375,27.91424
20f28e82a192c1555260099a0b6fa8c0,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,10753154,38787.22529,904.8769637,42.86464
20f788291d90ca1717f2dad95bdaf170,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,13620611,143.4146133,27.35416667,5.24288
21b76e5dbef87495a3dc408d04bb5525,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,14958625,1578.849248,36.8333724,42.86464
23447ae848bca177d1f069021c70a140,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13554991,861.7888246,30.87273107,27.91424
23684b372139fb16667d26e2b081b4ab,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11209698,368.11904,13.1875,27.91424
2409051a5f528e9ab5ae94e8cc8368e9,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11050006,3095.86368,110.90625,27.91424
2526acbc993f20221bcaa926d7c9279b,15734f8ae9f81ad6e273d75acad015f6,W05,Walls,10440184,3913.28256,316.25,12.374016
25d022a65cfb4d0a47f848861db162b9,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11647486,204.9952,7.34375,27.91424
2658933f51588537435734ad9117c2d5,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,10517694,685.292544,33.86111111,20.238336
271beed96c9bc55f3e2dbd9ce422c5dd,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13451036,139.7650489,5.006944444,27.91424
27e06f7fd91ab975a541f30dff7d5715,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14544774,4979.20256,178.375,27.91424
